,ID,full_name,overall,eur_value,eur_wage,league
4892,16,Luis García Fernández,70,575000.0,7000.0,Belgian First Division A
4940,28,Manuel Herrera Yagüe,70,425000.0,4000.0,Spanish Segunda División
45,41,Andrés Iniesta Luján,87,29500000.0,260000.0,Spanish Primera División
692,80,Emre Belözoğlu,79,4000000.0,26000.0,Turkish Süper Lig
16170,591,Chris Day,57,10000.0,1000.0,English League Two
6250,657,David Vaughan,69,325000.0,16000.0,English Championship
1552,768,Felipe Dal Bello,75,3800000.0,14000.0,Italian Serie A
10345,887,Nathan Clarke,65,220000.0,4000.0,English League Two
1832,1178,Paolo Cannavaro,75,900000.0,30000.0,Italian Serie A
18,1179,Gianluigi Buffon,89,4500000.0,110000.0,Italian Serie A
9576,1210,Massimo Donati,66,90000.0,2000.0,Scottish Premiership
1739,2147,Maarten Stekelenburg,75,2700000.0,60000.0,English Premier League
1075,2196,Roman Weidenfeller,77,1200000.0,26000.0,German Bundesliga
11072,2335,Aaron Wilbraham,64,160000.0,8000.0,English Championship
13358,2702,Kevin Ellison,62,110000.0,2000.0,English League Two
1488,3281,Ricardo José Monteiro,76,4500000.0,12000.0,Portuguese Primeira Liga
2999,3484,John O'Shea,73,550000.0,8000.0,English Championship
2199,3665,Benjamin Nivet,74,0.0,16000.0,French Ligue 1
3653,3974,José Filipe da Silva Moreira,72,725000.0,4000.0,Portuguese Primeira Liga
16007,4323,Paul Gallacher,58,10000.0,1000.0,Scottish Premiership
8225,4732,Jérémie Bréchet,67,100000.0,3000.0,French Ligue 2
1006,5213,Alessandro Gamberini,77,2100000.0,14000.0,Italian Serie A
197,5479,Iker Casillas Fernández,83,3500000.0,10000.0,Portuguese Primeira Liga
1498,5594,Rémy Vercoutre,76,525000.0,13000.0,French Ligue 1
1992,5879,Alberto Gilardino,75,3500000.0,6000.0,Italian Serie B
691,6826,Gareth Barry,79,1700000.0,53000.0,English Premier League
1502,7647,Dario Dainelli,76,1000000.0,14000.0,Italian Serie A
9871,7674,Ferdinando Coppola,66,40000.0,3000.0,Italian Serie A
993,7763,Andrea Pirlo,77,2800000.0,8000.0,USA Major League Soccer
1071,7826,Robin van Persie,77,5500000.0,72000.0,Turkish Süper Lig
2612,8205,Bruno Manuel Araújo Braga,73,1900000.0,13000.0,Portuguese Primeira Liga
690,8473,Tomáš Rosický,79,4200000.0,1000.0,Czech Liga
